yearOpened,nday,zipcode,longitude,latitude,case#
2013,58,02643,-71.06885,42.38135,101000888498
2013,58,02127,-71.051113,42.33182,101000888500
2013,58,02643,-71.07293,42.34551,101000888502
2013,58,02129,-71.06137,42.37294,101000888503
2013,58,02119,-71.08893,42.31968,101000888505
2013,59,02134,-71.125319,42.352834,101000893381
2013,59,02643,-71.136945,42.349381,101000893384
2013,59,02118,-71.07015,42.34198,101000893386
2013,59,02131,-71.13514,42.28528,101000893387
2013,59,02643,-71.1272,42.35435,101000893388
2013,59,02127,-71.03572,42.3349,101000893389
2013,59,02643,-71.113872,42.320898,101000893390
2013,59,02643,-71.093361,42.350379,101000893404
2013,59,02124,-71.07327,42.29225,101000893406
2013,59,02124,-71.07327,42.29225,101000893408
2013,59,02135,-71.16585,42.35197,101000893409
2013,60,02108,-71.06235,42.35938,101000893696
2013,60,02125,-71.05465,42.32176,101000893698
2013,60,02643,-71.07517,42.34517,101000893700
2013,60,02643,-71.0587,42.3594,101000893701
2013,60,02130,-71.11517,42.31659,101000893704
2013,60,02643,-71.05625,42.31157,101000893706
2013,60,02643,-71.07068,42.32239,101000893708
2013,60,02130,-71.11411,42.32268,101000893709
2013,60,02122,-71.05022,42.301,101000893710
2013,60,02643,-71.0587,42.3594,101000893714
2013,60,02131,-71.133001,42.275953,101000893716
2013,60,02131,-71.13278,42.27594,101000893718
2013,61,02122,-71.04549,42.2852,101000898535
2013,61,02122,-71.049457,42.288704,101000898537
2013,61,02124,-71.089638,42.290903,101000898539
2013,61,02643,-71.08633,42.2805,101000898541
2013,61,02215,-71.09348,42.34855,101000898543
2013,61,02131,-71.13055,42.27639,101000898549
2013,61,02643,-71.08633,42.2805,101000898550
2013,61,02131,-71.12295,42.27742,101000898559
2013,62,02643,-71.0587,42.3594,101000898825
2013,62,02135,-71.14531,42.34323,101000898826
2013,62,02643,-71.12627,42.25915,101000898830
2013,62,02136,-71.13234,42.25417,101000898831
2013,62,02643,-71.0587,42.3594,101000898833
2013,62,02131,-71.139,42.27985,101000898834
2013,62,02130,-71.099053,42.32309,101000898840
2013,62,02130,-71.107891,42.32454,101000898845
2013,62,02121,-71.08904,42.31037,101000898846
2013,62,02132,-71.1566,42.29272,101000898853
2013,62,02132,-71.16302,42.27972,101000898854
2013,62,02128,-71.00998,42.39331,101000898856
2013,62,02643,-71.12671,42.28691,101000898858
2013,63,02643,-71.138271,42.300336,101000903896
2013,63,02116,-71.07166,42.35193,101000903898
2013,63,02122,-71.05981,42.29727,101000903900
2013,63,02643,-71.05597,42.29513,101000903901
2013,63,02643,-71.06448,42.28856,101000903903
2013,63,02643,-71.08283,42.342072,101000903905
2013,63,02122,-71.05292,42.29452,101000903906
2013,63,02122,-71.0646,42.3029,101000903908
2013,63,02127,-71.03648,42.33717,101000903911
2013,63,02125,-71.06009,42.31284,101000903914
2013,63,02130,-71.10365,42.31764,101000903918
2013,63,02135,-71.15539,42.33969,101000903921
2013,63,02126,-71.09384,42.28662,101000903923
2013,63,02130,-71.10403,42.32106,101000903927
2013,63,02108,-71.06258,42.35857,101000903929
2013,63,02108,-71.06258,42.35857,101000903931
2013,64,02643,-71.069276,42.317903,101000904187
2013,64,02128,-71.03859,42.3698,101000904193
2013,64,02126,-71.09214,42.27271,101000904195
2013,64,02643,-71.06229,42.37762,101000904197
2013,64,02121,-71.08368,42.30827,101000904199
2013,64,02130,-71.10861,42.32339,101000904200
2013,64,02113,-71.0559,42.36434,101000904201
2013,64,02643,-71.16116,42.27723,101000904206
2013,64,02127,-71.0438,42.33705,101000904210
2013,64,02126,-71.09578,42.2682,101000904212
2013,65,02124,-71.067541,42.273506,101000909418
2013,65,02108,-71.05875,42.35952,101000909419
2013,65,02643,-71.13529,42.358816,101000909421
2013,65,02126,-71.09831,42.26908,101000909424
2013,65,02643,-71.10404,42.31534,101000909425
2013,65,02126,-71.09831,42.26908,101000909426
2013,65,02643,-71.13738,42.24697,101000909427
2013,65,02643,-71.13738,42.24697,101000909428
2013,65,02643,-71.067925,42.336512,101000909429
2013,65,02643,-71.10154,42.26478,101000909430
2013,65,02643,-71.0647,42.28859,101000909432
2013,65,02643,-71.166944,42.351966,101000909436
2013,65,02643,-71.166944,42.351966,101000909437
2013,65,02126,-71.10271,42.26382,101000909439
2013,65,02124,-71.07283,42.289223,101000909441
2013,65,02124,-71.07283,42.289223,101000909445
2013,65,02131,-71.12258,42.27396,101000909447
2013,66,02131,-71.11916,42.28189,101000909691
2013,66,02124,-71.08191,42.29502,101000909695
2013,66,02135,-71.14485,42.34312,101000909696
2013,66,02125,-71.06392,42.31249,101000909700
2013,66,02643,-71.06383,42.32509,101000909702
2013,66,02110,-71.052185,42.360996,101000909706
2013,67,02215,-71.0587,42.3594,101000914757
2013,67,02110,-71.05804,42.3562,101000914760
2013,67,02643,-71.13559,42.35888,101000914762
2013,67,02120,-71.099143,42.331376,101000914763
2013,67,02643,-71.13559,42.35888,101000914765
2013,67,02643,-71.14778,42.27129,101000914766
2013,67,02643,-71.14778,42.27129,101000914768
2013,67,02118,-71.08122,42.341355,101000914769
2013,67,02136,-71.1316,42.23257,101000914771
2013,67,02125,-71.07769,42.31628,101000914773
2013,67,02643,-71.06141,42.28677,101000914774
2013,67,02128,-71.037921,42.367264,101000914777
2013,68,02119,-71.070209,42.322654,101000915323
2013,68,02643,-71.10134,42.27703,101000915325
2013,68,02127,-71.02981,42.33728,101000915326
2013,68,02130,-71.11411,42.31646,101000915328
2013,68,02127,-71.02981,42.33728,101000915331
2013,68,02127,-71.02981,42.33728,101000915332
2013,68,02121,-71.07824,42.30872,101000915334
2013,68,02115,-71.08743,42.34896,101000915335
2013,68,02115,-71.08671,42.34916,101000915336
2013,68,02115,-71.08628,42.34925,101000915337
2013,68,02643,-71.06995,42.31641,101000915339
2013,68,02121,-71.081091,42.307076,101000915341
2013,68,02129,-71.05948,42.372416,101000915342
2013,68,02128,-71.03641,42.36952,101000915344
2013,68,02127,-71.04744,42.33783,101000915346
2013,68,02127,-71.03465,42.33379,101000915347
2013,68,02113,-71.056042,42.365667,101000915349
2013,68,02113,-71.05497,42.36661,101000915351
2013,68,02127,-71.03507,42.33185,101000915354
2013,68,02127,-71.03506,42.33171,101000915355
2013,68,02643,-71.05354,42.34137,101000915356
2013,68,02132,-71.0587,42.3594,101000915358
2013,68,02132,-71.0587,42.3594,101000915361
2013,68,02643,-71.16392,42.2724,101000915362
2013,68,02215,-71.09783,42.34241,101000915363
2013,68,02128,-71.038445,42.367222,101000915365
